CpartNr;SpartNr;PurchaseNo;SaleNo
499110510;76T00023AXXXH6008;870010389;
499110511;76T00023BXXXH6008;870010039;
499110513;76T00023CXXXH6008;870010040;
499110514;76T00023DXXXH6008;870010041;
499196333;76724025K308V5250;870010891;
499196999;76724025K949V5250;870010830;
62011000B000;62211000B000H6008;870002506;
62211000C000;62211000L000H6008;870009502;
62211016A000;62211016A000H6008;870001985;
76011119W000;76781119K000KPK01;870007444;
76011119W333;76781119K333KPK01;870001016;
76011119W888;76781119K888KPK01;870004945;
76720059K000;76724025K000V5250;870003664;
76751130W000;76781130W000H6008;870006925;
76751130W334;76781130W334H6008;870006927;
76751130W335;76781130W335H6008;870006928;
76753010W000;76783010K000KPK01;870000789;
76753010W001;76783010K001KPK01;870001986;
76753010W002;76783010K002KPK01;870008020;
76753121K111;76783121G111KPK01;870007846;
76753010W004;76783010K004KPK01;870002224;
76753010W005;76783010K005KPK01;870007666;
76753010W006;76783010K006KPK01;870004466;
76753010W007;76783010K007KPK01;870008021;
76753121W330;76783121G330KPK01;870008641;
76753010W009;76783010K009KPK01;870003315;
76753010W022;76783010K022KPK01;870004469;
76753010W111;76783010K111KPK01;870002225;
76753010W113;76783010K113KPK01;870004343;
76753010W114;76783010K114KPK01;870004351;
76753010W115;76783010K115KPK01;870005958;
76753010W116;76783010K116KPK01;870005959;
76753010W117;76783010K117KPK01;870005960;
76753010W118;76783010K118KPK01;870008022;
76753010W119;76783010K119KPK01;870004470;
76753010W220;76783010K220KPK01;870006180;
76753121W888;76783121G888KPK01;870008642;
76753010W224;76783010k224KPK01;870008107;
76753010W225;76783010K225KPK01;870005961;
76753010W226;76783010K226KPK01;870006116;
76783111G000;76783111G000KPK01;870002838;
76783111G335;76783111G335KPK01;870004346;
76753010W331;76783010K331KPK01;870005962;
76753010W336;76783010K336KPK01;870001344;
76753010W353;76783010K353KPK01;870001019;
76753010W440;76783010K440KPK01;870008024;
76753010W441;76783010K441KPK01;870008025;
76753010W443;76783010K443KPK01;870008633;
76753010W444;76783010K444KPK01;870005963;
76753010W445;76783010K445KPK01;870008026;
76753010W446;76783010K446KPK01;870005964;
76753010W447;76783010K447KPK01;870008027;
76753010W449;76783010K449KPK01;870004498;
76753010W533;76783010K533KPK01;870004499;
76783111W663;76783111G663KPK01;870008577;
76753010W551;76783010K551KPK01;870004472;
76753010W554;76783010K554KPK01;870004500;
76753010W555;76783010K555KPK01;870001348;
76753010W556;76783010K556KPK01;870002984;
76753010W557;76783010K557KPK01;870001349;
76753010W558;76783010K558KPK01;870004473;
76753113W000;76783113K000KPK01;870007083;
76753010W660;76783010K660KPK01;870007790;
76753010W661;76783010K661KPK01;870002985;
76753010W663;76783010K663KPK01;870001350;
76753010W664;76783010K664KPK01;870002986;
76753010W665;76783010K665KPK01;870001351;
76753010W666;76783010K666KPK01;870003316;
76753010W667;76783010K667KPK01;870008028;
76753010W668;76783010K668KPK01;870002987;
76753010W669;76783010K669KPK01;870002988;
76753113W003;76783113K003KPK01;870008984;
76753010W770;76783010K770KPK01;870008029;
76753113W115;76783113K115KPK01;870007190;
76753010W773;76783010K773KPK01;870001353;
76753010W774;76783010K774KPK01;870008031;
76753113W331;76783113K331KPK01;870005986;
76753010W776;76783010K776KPK01;870005967;
76753010W777;76783010K777KPK01;870005968;
76753113W336;76783113K336KPK01;870005835;
76753010W779;76783010K779KPK01;870007714;
76753010W800;76783010K800KPK01;870004502;
76753010W880;76783010K880KPK01;870004503;
76753010W881;76783010K881KPK01;870004474;
76753010W883;76783010K883KPK01;870005969;
76753010W884;76783010K884KPK01;870004504;
76753010W885;76783010K885KPK01;870004475;
76753010W886;76783010K886KPK01;870004505;
76753010W887;76783010K887KPK01;870004506;
76753010W888;76783010K888KPK01;870004476;
76753010W889;76783010K889KPK01;870005800;
76753010W990;76783010K990KPK01;870001358;
76753010W991;76783010K991KPK01;870007581;
76753113W337;76783113K337KPK01;870007119;
76753010W994;76783010K994KPK01;870008032;
76753010W995;76783010K995KPK01;870007582;
76753010W996;76783010K996KPK01;870007583;
76753010W997;76783010K997KPK01;870001578;
76753010W998;76783010K998KPK01;870008033;
76753010W999;76783010k999KPK01;870005970;
76753113W338;76783113K338KPK01;870005996;
76753021W001;76883021G001KPK01;870001359;
76753113W554;76783113K554KPK01;870007191;
76753021W003;76883021G003KPK01;870002549;
76753113W661;76783113K661KPK01;870008985;
76753113W991;76783113K991KPK01;870008989;
76753070W333;76783070K333KPK01;870001615;
76753021W007;76883021G007KPK01;870001360;
76753021W008;76883021G008KPK01;870002902;
76753021W009;76883021G009KPK01;870001023;
76753021W022;76883021G022KPK01;870001579;
76753021W033;76883021G033KPK01;870001361;
76753021W110;76883021G110KPK01;870001024;
76753104W000;76783104G000KPK01;870004180;
76753021W112;76883021G112KPK01;870000791;
76753021W113;76883021G113KPK01;870001363;
76753104W001;76783104G001KPK01;870008970;
76753104W003;76783104G003KPK01;870008971;
76753021W116;76883021G116KPK01;870002993;
76753021W117;76883021G117KPK01;870001364;
76753021W118;76883021G118KPK01;870001026;
76753021W119;76883021G119KPK01;870004340;
76753021W133;76883021G133KPK01;870001027;
76753104W004;76783104G004KPK01;870008972;
76753104W331;76783104G331KPK01;870008975;
76753021W222;76883021G222KPK01;870000634;
76753021W224;76883021G224KPK01;870001367;
76753021W225;76883021G225KPK01;870002903;
76753021W226;76883021G226KPK01;870002994;
76753021W227;76883021G227KPK01;870001368;
76753021W228;76883021G228KPK01;870001369;
76753021W229;76883021G229KPK01;870003696;
76753021W300;76883021G300KPK01;870000637;
76753021W330;76883021G330KPK01;870000793;
76753021W331;76883021G331KPK01;870001372;
76753021W333;76883021G333KPK01;870000794;
76753021W334;76883021G334KPK01;870001028;
76753104W333;76783104G333KPK01;870008976;
76753021W336;76883021G336KPK01;870002228;
76753021W337;76883021G337KPK01;870001374;
76753104W556;76783104G556KPK01;870010732;
76753021W339;76883021G339KPK01;870000638;
76753021W353;76883021G353KPK01;870001375;
76753021W440;76883021G440KPK01;870001376;
76753104W559;76783104G559KPK01;870008978;
76753021W442;76883021G442KPK01;870003778;
76753021W443;76883021G443KPK01;870001378;
76753104W774;76783104G774KPK01;870009237;
76753021W445;76883021G445KPK01;870004949;
76753021W446;76883021G446KPK01;870002996;
